Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source
Ratcliffe-on-Soar,Ratcliffe-on-Soar,Nottinghamshire,East Midlands,52°51′55″N 1°15′18″W,Coal,2021.0,1968.0,2024,56.0,Brownfield,Full,,,,,,,,52.86527777777778,-1.255,606.3,estimated
Richborough,Richborough,Kent,South East,51°18′36″N 1°20′55″E,Coal+oil,360.0,1962.0,1996,34.0,New energy site,Partial,,,,,,,,51.309999999999995,1.348611111111111,108.0,estimated
Roosecote A,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,Coal,120.0,1954.0,1986,32.0,Clean energy site,Partial,,,,,,,,54.105000000000004,-3.1877777777777774,36.0,estimated
Roosecote B,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,CCGT,229.0,1991.0,2012,21.0,Clean energy site,Partial,,,,,,,,54.105000000000004,-3.1877777777777774,17.2,estimated
Rugeley A,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,600.0,1963.0,1995,32.0,Remediation then clean redevelopment,Full,,,,,,,,52.75694444444444,-1.9163888888888887,180.0,estimated
Rugeley B,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,1006.0,1970.0,2016,46.0,Remediation then redevelopment,Full,,,,,,,,52.75694444444444,-1.9163888888888887,301.8,estimated
Rye House A,Hoddesdon,Hertfordshire,East,51°45′45″N 0°00′39″E,Coal,120.0,1953.0,1982,29.0,New energy site,Partial,,,,,,,,51.7625,0.010833333333333334,37.0,OSMnx
Sizewell A,Sizewell,Suffolk,East,52°12′54″N 1°37′11″E,Nuclear (magnox),650.0,1966.0,2006,40.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,52.215,1.6197222222222223,97.5,estimated
Skelton Grange A,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,360.0,1948.0,1983,35.0,Clean energy site,Partial,,,,,,,,,,108.0,estimated
Skelton Grange B,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,448.0,1960.0,1994,34.0,Clean energy site,Partial,,,,,,,,,,134.4,estimated
Spondon[38][39][11],Spondon,Derbyshire,East Midlands,52°54′23″N 1°24′03″W,Coal,18.0,1920.0,1982,62.0,Partially Demolished,Partial,,,,,,,,52.906388888888884,-1.4008333333333332,5.4,estimated
Staythorpe A,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,112.0,1950.0,1983,33.0,New energy site,Partial,,,,,,,,53.07472222222223,-0.8558333333333333,19.4,OSMnx
Staythorpe B,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,354.0,1962.0,1994,32.0,New energy site,Partial,,,,,,,,53.07472222222223,-0.8558333333333333,106.2,estimated
Stella North,Lemington,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,240.0,1954.0,1991,37.0,Redeveloped,Partial,,,,,,,,54.97416666666667,-1.7258333333333336,72.0,estimated
Stella South,Blaydon,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,300.0,1954.0,1991,37.0,Redeveloped,Partial,,,,,,,,54.97416666666667,-1.7258333333333336,90.0,estimated
Stourport B[21],Stourport,Worcestershire,West Midlands,,Coal,112.0,1950.0,1984,34.0,Redeveloped,Partial,,,,,,,,,,33.6,estimated
Teesside,Wilton,Redcar and Cleveland,North East,54°34′37″N 1°07′14″W,CCGT,1875.0,1993.0,2013,20.0,Brownfield,Partial,,,,,,,,54.57694444444445,-1.1205555555555555,140.6,estimated
Thornhill[11],Dewsbury,West Yorkshire,North East,53°40′38″N 1°39′17″W,Coal,186.0,1902.0,1982,80.0,New energy site,Partial,,,,,,,,53.67722222222222,-1.6547222222222222,55.8,estimated
Thorpe Marsh,Doncaster,South Yorkshire,Yorkshire and the Humber,53°34′50″N 1°05′07″W,Coal,1100.0,1963.0,1994,31.0,Remediation,Partial,,,,,,,,53.580555555555556,-1.0852777777777778,330.0,estimated
Tilbury A,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Oil,360.0,1956.0,1981,25.0,Clean energy site,Partial,,,,,,,,51.455000000000005,0.3916666666666667,36.0,estimated
Tilbury B,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Coal+oil+biofuel,1131.0,1967.0,2013,46.0,Clean energy site,Partial,,,,,,,,51.455000000000005,0.3916666666666667,339.3,estimated
Wakefield B,Wakefield,West Yorkshire,Yorkshire and the Humber,53°40′25″N 1°28′24″W,Coal,224.0,1957.0,1991,34.0,Redeveloped,Partial,,,,,,,,53.67361111111111,-1.4733333333333334,67.2,estimated
Walsall[21] (Birchills),Walsall,Birmingham,West Midlands,,Coal,191.0,1949.0,1982,33.0,Clean energy site,Partial,,,,,,,,,,57.3,estimated
Watford,Watford,Hertfordshire,East,51°38′34″N 0°24′16″W,Coal,27.0,1899.0,1990,91.0,Redeveloped,Partial,,,,,,,,51.64277777777778,-0.40444444444444444,8.1,estimated
West Burton A,Bole,Nottinghamshire,East Midlands,53°21′54″N 0°49′10″W,Coal,1972.0,1967.0,2023,56.0,Brownfield,Partial,,,,,,,,53.365,-0.8194444444444444,591.6,estimated
West Ham,Canning Town,London,Greater London,51°31′05″N 0°00′05″E,Coal,114.0,1904.0,1983,79.0,Redeveloped,Partial,,,,,,,,51.518055555555556,0.001388888888888889,34.2,estimated
West Thurrock,West Thurrock,Essex,East,51°28′10″N 0°17′20″E,Coal,1300.0,1962.0,1993,31.0,Redeveloped,Partial,,,,,,,,51.46944444444445,0.28888888888888886,390.0,estimated
Wilford,Wilford,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,316.0,1925.0,1981,56.0,Redeveloped,Partial,,,,,,,,52.93194444444444,-1.1669444444444446,94.8,estimated
Willington A,Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400.0,1957.0,1990,33.0,Redeveloped,Partial,,,,,,,,52.85388888888889,-1.565,120.0,estimated
Willington B[49],Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400.0,1960.0,1990,30.0,Redeveloped,Partial,,,,,,,,52.85388888888889,-1.565,120.0,estimated
Winfrith,Winfrith Newburgh,Dorset,South West,50°40′55″N 2°15′40″W,Nuclear,100.0,1968.0,1990,22.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.68194444444444,-2.261111111111111,,estimated
